movie_id,genre_id
19995,28
19995,12
19995,14
19995,878
285,12
285,14
285,28
206647,28
206647,12
206647,80
49026,28
49026,80
49026,18
49026,53
49529,28
49529,12
49529,878
559,14
559,28
559,12
38757,16
38757,10751
99861,28
99861,12
99861,878
767,12
767,14
767,10751
209112,28
209112,12
209112,14
1452,12
1452,14
1452,28
1452,878
10764,12
10764,28
10764,53
10764,80
58,12
58,14
58,28
57201,28
57201,12
57201,37
49521,28
49521,12
49521,14
49521,878
2454,12
2454,10751
2454,14
24428,878
24428,28
24428,12
1865,12
1865,28
1865,14
41154,28
41154,35
41154,878
122917,28
122917,12
122917,14
1930,28
1930,12
1930,14
20662,28
20662,12
57158,12
57158,14
2268,12
2268,14
254,12
254,18
254,28
597,18
597,10749
597,53
271110,12
271110,28
271110,878
44833,53
44833,28
44833,12
44833,878
135397,28
135397,12
135397,878
135397,53
37724,28
37724,12
37724,53
558,28
558,12
558,14
68721,28
68721,12
68721,878
12155,10751
12155,14
12155,12
36668,12
36668,28
36668,878
36668,53
62211,16
62211,10751
8373,878
8373,28
8373,12
91314,878
91314,28
91314,12
68728,14
68728,12
68728,10751
102382,28
102382,12
102382,14
20526,12
20526,28
20526,878
49013,16
49013,10751
49013,12
49013,35
44912,12
44912,28
44912,53
44912,878
10193,16
10193,10751
10193,35
534,28
534,878
534,53
168259,28
72190,28
72190,18
72190,27
72190,878
72190,53
127585,28
127585,12
127585,14
127585,878
54138,28
54138,12
54138,878
81005,28
81005,10751
81005,14
64682,18
64682,10749
9543,12
9543,14
9543,28
9543,10749
68726,28
68726,878
68726,12
38356,28
38356,878
38356,12
217,12
217,28
105864,12
105864,16
105864,10751
62177,16
62177,12
62177,35
62177,10751
62177,28
62177,14
188927,28
188927,12
188927,878
10681,16
10681,10751
5174,28
5174,35
5174,80
5174,53
14161,28
14161,12
14161,878
17979,16
17979,18
76757,878
76757,14
76757,28
76757,12
258489,28
258489,12
411,12
411,10751
411,14
246655,878
155,18
155,28
155,80
155,53
14160,16
14160,35
14160,10751
14160,12
15512,16
15512,10751
15512,12
15512,878
1726,28
1726,878
1726,12
44826,12
44826,18
44826,10751
8487,28
