movie_id,cast_id
19995,65731
19995,8691
19995,10205
19995,32747
19995,17647
19995,1771
19995,59231
19995,30485
19995,15853
19995,10964
19995,95697
19995,98215
19995,154153
19995,397312
19995,42317
19995,986734
19995,1207227
19995,1180936
19995,1019578
19995,91443
19995,173391
19995,1207236
19995,215913
19995,143206
19995,169676
19995,1048610
19995,42288
19995,68278
19995,1207247
19995,1207248
19995,89714
19995,1207249
19995,1207250
19995,83105
19995,1207253
19995,1207251
19995,1207252
19995,1207254
19995,1207257
19995,1207259
19995,1207262
19995,1158600
19995,983705
19995,1207263
19995,1145098
19995,33305
19995,1207264
19995,33311
19995,1207265
19995,1207266
19995,54492
19995,1207267
19995,1207268
19995,1207269
19995,1207270
19995,1207271
19995,1207272
19995,1207273
19995,1207274
19995,1207275
19995,1207276
19995,107969
19995,1207278
19995,147898
19995,1207280
19995,1207281
19995,1207282
19995,1207283
19995,98216
19995,1201399
19995,236696
19995,1207287
19995,1207288
19995,1207289
19995,584868
19995,1207290
19995,1062463
19995,60656
19995,1207291
19995,1186027
19995,1207292
19995,103259
19995,42286
285,85
285,114
285,116
285,1640
285,1619
285,2440
285,118
285,1709
285,2449
285,2441
285,2038
285,378
285,1430
285,1710
285,1711
285,4031
285,1715
285,4030
285,939
285,2450
285,2452
285,1714
285,1713
285,22075
285,61259
285,33500
285,1224149
285,429401
285,1123
285,1056117
285,21700
285,2603
285,70577
206647,8784
206647,27319
206647,121529
206647,5469
206647,28782
206647,17064
206647,2038
206647,543530
206647,125660
206647,139549
206647,2244
206647,1381616
206647,929937
206647,87265
206647,983710
206647,1385592
206647,1545546
206647,1545547
206647,122556
206647,1599239
206647,1599241
206647,230681
206647,30446
206647,48377
206647,578512
206647,1093974
206647,89624
206647,1129783
206647,226388
206647,1299312
206647,124628
206647,1562103
206647,1474616
206647,1247684
206647,1599245
206647,1599247
206647,1599251
206647,1599252
206647,1599253
206647,123548
206647,1599254
206647,1599255
206647,1404403
206647,74415
206647,1599256
206647,1599257
206647,1599258
206647,1599259
206647,1599260
206647,1477143
206647,1599261
206647,1168129
206647,48393
206647,1437333
206647,1599262
206647,14637
206647,1599263
206647,1599264
206647,1599265
206647,1599266
206647,1599267
206647,1599268
206647,1599269
206647,1599270
206647,1599271
206647,1599272
206647,1102369
206647,1372694
206647,1363060
206647,1599275
206647,1599276
206647,1599277
206647,229320
206647,1599278
206647,1599279
206647,1436816
206647,1599280
206647,5309
206647,1186597
206647,1654739
206647,1682535
206647,1682536
206647,1725801
49026,3894
49026,3895
49026,64
49026,1813
49026,2524
49026,8293
49026,24045
49026,192
49026,2037
49026,36594
49026,3896
49026,8654
49026,16607
49026,77335
49026,21316
49026,928532
49026,71010
49026,125025
49026,211521
49026,10582
49026,224365
49026,1334307
49026,1334308
49026,1334309
49026,1172491
49026,49735
49026,39659
49026,16841
49026,22075
49026,159879
49026,8191
49026,1240417
49026,1218818
49026,84754
49026,1473276
49026,1364324
49026,1473749
49026,539
49026,158484
49026,10689
49026,9632
49026,1205900
49026,1403768
49026,1465242
49026,141014
49026,32363
49026,21182
49026,83271
49026,535
49026,1226016
49026,15011
49026,70225
49026,24627
49026,142290
49026,1377686
49026,550549
49026,21505
49026,98804
49026,1386824
49026,31362
49026,145313
49026,53252
49026,24202
49026,1301187
49026,204191
49026,40039
49026,21416
49026,55411
49026,1244314
49026,1286878
49026,6365
49026,1417415
49026,941
49026,1225911
49026,100891
49026,20469
49026,105832
49026,1355615
49026,51930
49026,95577
49026,1010873
49026,26088
49026,853194
49026,171606
49026,1406682
49026,1167718
49026,572221
49026,1116933
49026,1524158
49026,139188
49026,1075845
49026,1283949
49026,1344943
49026,1240191
49026,1359461
49026,1163300
49026,93752
49026,1343309
49026,1372419
49026,1502323
49026,1509064
49026,1525392
49026,1365976
49026,1098036
49026,1354413
49026,123875
49026,127060
49026,1388256
49026,1241239
49026,1378466
49026,1264686
49026,1169299
49026,1269611
49026,1446471
49026,1188950
49026,1383091
49026,1480128
49026,1174970
49026,127063
49026,1480130
49026,1505308
49026,1509148
49026,122339
49026,93778
49026,1205749
49026,1480150
49026,20582
49026,1298014
49026,1429650
49026,1349600
49026,1066138
49026,565508
49026,1513716
49026,1215314
49026,1452954
49026,1451618
49026,1085730
49026,557202
49026,54211
49026,1480223
49026,102516
49026,1205751
49026,1205623
49026,1521872
49026,306870
49026,1205141
49026,1343746
49026,1454322
49026,1553053
49026,1553307
49026,1553377
49026,1574936
49026,1576421
49026,1580574
49026,1583389
49026,1633514
49026,1673036
49026,1536670
49529,60900
49529,21044
49529,2206
49529,5293
49529,19159
49529,2983
49529,8785
49529,17287
49529,17648
49529,17419
49529,6416
49529,57675
49529,89830
49529,205278
49529,218345
49529,1390394
49529,1518112
49529,1721985
49529,1721992
49529,118617
49529,1722006
49529,130129
49529,65716
49529,1724736
49529,62082
49529,1367241
49529,1844319
559,2219
559,205
559,17051
559,19159
559,17052
559,18997
559,18998
559,2505
559,18999
559,9207
559,19152
559,5502
559,9281
559,11769
559,6585
559,5293
559,19153
559,2368
559,20645
559,20582
559,20580
559,7624
559,11357
559,19155
559,7628
559,19154
559,19326
559,59206
559,78311
559,116627
559,113608
559,99932
559,552526
559,1226471
559,159456
559,105701
559,66653
559,1451076
559,11766
559,1781288
559,1739821
559,1735986
559,1781297
559,1435965
559,1781298
559,233298
559,60490
559,175606
559,1656631
559,173163
559,1781299
559,1781300
559,1781301
559,1781302
559,53257
559,92486
559,52946
559,1781303
559,98396
559,558055
559,1781304
559,1781307
559,193946
559,1446719
559,1781308
559,1781309
559,1781310
559,1781311
559,1653331
559,1781312
559,111243
559,1781313
559,1781194
559,1781318
559,454223
559,232042
559,1496942
559,1209717
559,1781325
559,1509622
559,1610271
559,1781326
