id,name
28,Action
12,Adventure
14,Fantasy
878,Science Fiction
80,Crime
18,Drama
53,Thriller
16,Animation
10751,Family
37,Western
35,Comedy
10749,Romance
27,Horror
9648,Mystery
36,History
10752,War
10402,Music
99,Documentary
10769,Foreign
10770,TV Movie
