id,name
289,Ingenious Film Partners
306,Twentieth Century Fox Film Corporation
444,Dune Entertainment
574,Lightstorm Entertainment
2,Walt Disney Pictures
130,Jerry Bruckheimer Films
19936,Second Mate Productions
5,Columbia Pictures
10761,Danjaq
69434,B24
923,Legendary Pictures
6194,Warner Bros.
9993,DC Entertainment
9996,Syncopy
326,Laura Ziskin Productions
19551,Marvel Enterprises
6125,Walt Disney Animation Studios
420,Marvel Studios
15357,Prime Focus
76043,Revolution Sun Studios
7364,Heyday Films
429,DC Comics
507,Atlas Entertainment
9995,Cruel & Unusual Films
41624,RatPac-Dune Entertainment
9168,Bad Hat Harry Productions
7576,Eon Productions
2691,Infinitum Nihil
37380,Silver Bullet Productions (II)
37381,Blind Wink Productions
37382,Classic Media
78685,Cruel and Unusual Films
5888,Walt Disney
10221,Walden Media
11345,Stillking Films
11440,Ozumi Films
11441,Propeler
11442,Silverbell Films
4,Paramount Pictures
20478,Moving Picture Company (MPC)
56,Amblin Entertainment
5627,Media Magik Entertainment
6736,Imagenation Abu Dhabi FZ
9169,Hemisphere Media Capital
11084,Parkes/MacDonald Productions
11,WingNut Films
12,New Line Cinema
174,Warner Bros. Pictures
7413,3Foot7
8411,Metro-Goldwyn-Mayer (MGM)
7505,Marvel Entertainment
23,Imagine Entertainment
33,Universal Pictures
1645,Scott Free Productions
7295,Relativity Media
1473,Depth of Field
1938,Scholastic Productions
68,Big Primate Pictures
69,MFPV Film
264,Studio Babelsberg
3036,Walt Disney Studios Motion Pictures
84424,Vita-Ray Dutch Productions (III)
84425,Deluxe Digital Studios
2598,Hasbro
13778,Bluegrass Films
20153,Film 44
13,Universal Studios
3341,Fuji Television Network
6452,Dentsu
598,Team Todd
8601,Tim Burton Productions
16314,Roth Films
20004,"Zanuck Company, The"
431,Donners' Company
445,Major Studio Partners
12247,thinkfilm
79028,X3 Canada Productions
79029,X3US Productions
79030,XM3 Service
3,Pixar Animation Studios
27,DreamWorks SKG
435,Di Bonaventura Pictures
2481,Platinum Dunes
22826,Hasbro Studios
11413,China Movie Channel
38833,Ian Bryce Productions
31828,Avi Arad Productions
53462,Matt Tolmach Productions
7161,LivePlanet
18713,Prana Studios
23791,Sean Bailey Productions
76067,Kontsept Film Company
2609,De Line Pictures
4021,The Halcyon Company
4022,Wonderland Sound and Vision
333,Original Film
7154,One Race Films
40890,China Film Co.
